,Dominant_Topic,Perc_Contribution,Topic_Keywords,CONTENT_TX
31,3,0.8192,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",说送拿铁的，怎么没送
32,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好！
33,5,0.525,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很不错，服务到位
34,9,0.6376,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",希望有些间单的小问题，柜台直接帮忙解决，而不是让顾客等待查寻
35,5,0.5508,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",不错，新年快乐！
36,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度好
37,0,0.276,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",油条硬了根本无法咬
38,0,0.4199,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",培根炒蛋真好吃
39,5,0.5667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度很好。人员给人的感觉我很温馨
40,9,0.443,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",门口那个推荐用扫码点餐的姐姐有点凶
41,7,0.4206,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",肯德基早餐，美味健康有营养！
42,5,0.525,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务很好
43,9,0.525,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",自助点餐比较快
44,0,0.525,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",皮蛋瘦肉粥还是那么的好吃
45,9,0.3737,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",没有人工点单，必须让你手机点，而且配餐速度非常慢，服务员很不熟练，很慌乱，对着托盘里的食物说话，也不怕口水喷上面，大堂只开楼上，地下不开，也没有服务员收盘子，很混乱，非常差劲的一次体验
46,2,0.4433,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",点菜前不扫会员积分，不问堂吃带走
47,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",非常好
48,7,0.5066,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",服务非常好，就是我第一次点自助下单让男友到店取...可是临了找不到签到的地方…我也是够笨的，还好让男友说明情况，把点的早餐给了我们...谢谢啦！
49,5,0.3875,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务周到热情是我一直的感觉。希望你们的薯饼炸得恰到好处：内嫩外脆。当然，比较麻烦。只是希望而已。
50,6,0.369,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",新年第一顿早饭，手助好方便
51,3,0.525,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",桌面需要清洁，有长头发
52,2,0.5125,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",服务差，点的餐还老是给错！
53,0,0.3779,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",粥有点咸
54,2,0.55,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",有点吵
55,9,0.6202,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",自助点餐坑的要死。
56,8,0.6375,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",餐厅干净整洁，服务态度好。就是外面停车位比较少
57,5,0.3668,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",2018五星
58,3,0.5356,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",吃早饭  女儿想要白开水   去要了两次  都说白开水没开    豆浆孩子又不喝  去超市买瓶水喝 
59,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度好，
60,3,0.4617,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",最开心的是喝到暖心粥KFC一如既往！
61,3,0.638,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",豆浆等液体类的杯子看看能否改进下，几次打包带走路上翻出来要
62,7,0.3667,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",还不错
63,0,0.1,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",非常一般
64,0,0.4311,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",买的培根蛋烧饼，打包拿回家是熏鸡烧饼
65,0,0.6239,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",我点的是新品帕尼尼！你们能不能想象当我到单位打开餐袋，是一个芝士鸡肉帕尼尼的感受！开年第一天，这运气。这次还是个服务部长
66,7,0.525,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",服务还行
67,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好！
68,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好好好
69,9,0.3185,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",接待员很热心的帮忙微信点单，减少了大家排队的时间，不懂的地方还很耐心的教顾客
70,0,0.4422,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",安心油条太硬了，都咬不动
71,7,0.3247,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",服务特别好，虽然我自己下单下错店未去取餐，但也及时打电话来询问我情况并帮我申请退单。
72,7,0.4636,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",首先我去点餐点餐员一句话不说，其次点餐员推卸责任，明明是打印条没纸了需要更换，没给我取餐号，我去和他要，他说我走太快，我就在柜台等取餐我去哪走太快啊。差评！！
73,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",蛮好的
74,9,0.3667,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",标准不一
75,8,0.3445,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",汉堡少了一半的面包！第一次遇到这种情况！不太开心。
76,5,0.6833,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务很热情，蛮好的
77,3,0.7892,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",明明加了钱点了黑豆浆拿到手还是白的豆浆懒的换了
78,6,0.35,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",没wifi，订单找不到！
79,2,0.3446,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",粥给错了，2碗粥1把勺子也没给，咋吃
80,5,0.4321,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好吃，环境也好，美美的一天开始。给可爱的服务员点赞！
81,9,0.775,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",口味越来越不好了
82,3,0.55,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",又又又配错
83,3,0.2283,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",一大早犯了个错误，刚拿到手的早餐一转身就碰到墙角上，全搁地上了，不过这边的阿姨态度还真是好，直接就给我另做了一份，暖心，感谢
84,7,0.2591,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",到店里取食物，已经配好放置在台面上，喊了好多声我是xxxx号，食物取走了哦，硬是没人理，不理我也就算了，东西保管好啊，感觉随便一个人顺手就能取走，最后终于有个服务员木纳的点了一下头，没看我的取号码没核对餐点就让我拿走了，表现的太不专业了
85,3,0.3528,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",我前面没人还叫我等，其他的人都没到
86,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",不错?
87,7,0.2584,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",自助点餐还等了那么久，说是水没开，没有豆浆，我也是醉了。从家里到店里还等了七八分钟
88,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",非常好
89,0,0.2229,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",付态度是好的，可是把我的粥给弄错了！
90,3,0.3154,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",这次的黑豆浆给好评！但是今天我到了服务台居然被告知必须手机定，然后搞了足足20分钟才有人开始指导！不一会儿，人肉点餐居然可以了！那你一开始说一定要手机点餐是什么鬼！服务极其不满意！真的只是因为在万达方便，所以才一次次消费！不然肯定…哎！
91,2,0.4204,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",餐厅内手机信号太差
92,5,0.3441,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员叫什么玲的很热情，那个女管理组太吵了，大吼大叫，难道不懂得尊重员工吗？
93,9,0.7794,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小", 没有流量，自助点餐不方便
94,7,0.3538,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",店里没人还坚持让扫码点餐，不肯柜台点！发货时少油条、咖啡还说我因为没点套餐，所以没看到！咖啡是套餐里的少给也怪我啊？态度及其恶劣！
95,9,0.577,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",好吃好玩好乐观不一样啊啊啊啊啊啊我的意思
96,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",非常好
97,5,0.5884,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好，很开心的一次购物体验!
98,5,0.5508,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员热情接待
99,6,0.3101,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",差一个东西没做好，让过来不肯送，说没有人自己来拿
100,8,0.55,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",方便。快
101,0,0.703,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",炒鸡给我拿成蛋培根汉堡
102,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务赞赞的
103,3,0.3573,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",进店营业员让网上点餐，点好说没有，让换，换还这个没有那个没有，最后说退，退款还8个工作日，真心失望！
104,1,0.3667,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",味道不错
105,0,0.3,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",总之服务太差，前台都没有人
106,2,0.5101,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",服务员主动热情周到，就是用餐座位太少，占位的人太多
107,9,0.6938,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",说好的手机点单不排队的的，手机点单不处理，只管现场收银，那你们这家KFC就不需要手机点单功能
108,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度非常好
109,5,0.82,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好，很贴心
110,9,0.3668,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",点餐很慢
111,1,0.5869,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",小龙虾烤鸡堡简直是个骗子，我数了下只有六个小龙虾！！
112,5,0.3813,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",餐厅服务员态度很好，速度快。很热情，食物很新鲜，下次再来吃。
113,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很喜欢
114,5,0.525,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很滿意能关心老人
115,5,0.275,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好吃，态度好
116,5,0.62,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",这次的服务员很好
117,8,0.525,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",少了一对鸡翅
118,2,0.6375,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",原味鸡块煎的太老了，不好吃。
119,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",不错哦！
120,5,0.8199,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务周到态很好，会常来哦
121,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务热情
122,9,0.82,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",烤翅不好吃。
123,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务热情
124,2,0.3244,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",新年第一次早餐就是吃肯德基。 2018年也加油！
125,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务好
126,9,0.3146,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",为何每次小吃拼盘里的鸡米花我总感觉是剩下的。除了面粉还是面粉
127,5,0.5167,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好！很满意！谢谢
128,9,0.3147,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",为何每次小吃拼盘里的鸡米花我总感觉是剩下的。除了面粉还是面粉
129,8,0.775,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",速度很快！满意！
130,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好！
131,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",节日快乐！大家辛苦了。
132,5,0.6375,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",感觉上还是挺好的，服务态度很好
133,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很不错
134,6,0.7,"没, 挺, 东西, 店, 经理, 时间, 厕所, 还要, 店里, 完",东西太少了
135,3,0.1845,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",最近吃的早餐没有之前的好吃了，好像换了师傅似的
136,9,0.3667,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",点餐快
137,8,0.5167,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",服务好，速度快，赞
138,8,0.2727,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",新年第一天，发餐的经理好漂亮
139,9,0.3242,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",是觉得现在有自助点单，就觉得去买单的人不重要了吗，买个东西等了好久，还有没有玉米了不应该提前说吗？，这都是你们提前就做好的工作，好不容易买完单了！，跟我说玉米没有了，
140,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",棒棒的！
141,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",非常好
142,0,0.275,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务超级棒 
143,8,0.2813,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",小龙虾碎肉加起来只有两三只 与图片完全不符
144,1,0.5885,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",新的小龙虾鸡肉卷味道炒鸡棒
145,0,0.2199,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",外面的服务人员很好，看到我一个人带着孩子，主动帮我取餐。柜内给餐的服务人员态度很一般，第一次要温水就不怎么理人，第二次要打包袋打包豆浆和咖啡，很不耐烦。
146,8,0.42,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",速度很快，态度好
147,0,0.3878,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",做冰激凌的美眉不但漂亮人还好，棒棒哒！
148,8,0.3667,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",下次在去。
149,0,0.2756,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",人美服务好，给个赞。
150,5,0.5857,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员态度好很热情，给个赞。
151,5,0.2334,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",小龙虾堡很好吃，赞，服务很周到
152,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好吃哦！
153,9,0.2127,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",这服务态度和送餐速度，明明后面那么多人排队，服务员还像个树懒一样不紧不慢。 后面一群自助点餐的人都等的急死了！ 虽然不能以貌取人.但是那个自助点餐的服务员是真的长得不讨喜啊！ 一脸全世界欠她几百万的样子！本来就等餐等的很恼火，再看她的脸简直有退单的想法！ 和我们家这边的肯德基比简直差了不知道几条街. 还是闹市区的kfc. 无语了.
154,5,0.62,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员态度很好
155,9,0.443,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",不理解高铁，汽车站里没有薯条这个点
156,8,0.7,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",舒服，干净！
157,5,0.6833,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务态度好-3-
158,2,0.2756,"原味, 态度, 鸡, 太, 差, 鸡块, 用餐, 主动, 2, 老",早餐撤得太早，取餐效率不高！
159,5,0.22,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好，挺方便的，还很快
160,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很满意！
161,8,0.3667,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",速度太慢
162,5,0.55,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",非常好
163,5,0.525,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",态度很好
164,8,0.525,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",早餐非常快，新鲜
165,9,0.775,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",薯条不好吃
166,8,0.3001,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",服务好，美女都很漂亮，又，给力
167,5,0.62,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",不错，服务很好。
168,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务好
169,0,0.3667,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",热情的服务
170,0,0.7,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",服务挺不错的
171,3,0.3878,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",服务员就管自己换垃圾袋根本不管客人，要个拌饭酱等半天！差评！！！
172,5,0.42,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好吃很好吃
173,8,0.275,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",环境略干净
174,3,0.3326,"都, 说, 冷, 去, 上, 客人, 优惠, 会, 番茄酱, 换",新年第一天，拿着早餐券吃早餐，服务员只确认掉一张券，硬说一次只能用一张券，其它必须要买单，是这样的吗？？！心塞！
175,5,0.3675,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",人好服务好
176,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",赞赞赞赞
177,0,0.5258,"服务, 一个, 汉堡, 人, 大, 做, 人员, 鸡肉, 好评, 想",皮蛋瘦肉粥:-P
178,4,0.1,"坏, 太好了, 优惠卷, 洗手间, 多多, 信息, 生意, 坐下, 逼, 张",没有辣椒粉
179,5,0.5856,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好很满意服务一流
180,1,0.525,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",服务特别周到
181,5,0.775,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好，不错，
182,7,0.2381,"还, 点, 肯德基, 咖啡, 帮, 套餐, 下单, 餐点, 美味, 好喝",该店服务组长邵女士满意度调查做的很细致！认真听取顾客反馈给予点赞！
183,8,0.3001,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",服务很好，但是吃的东西又长价了，快吃不起了。
184,8,0.3667,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",饭团凉了
185,4,0.1,"坏, 太好了, 优惠卷, 洗手间, 多多, 信息, 生意, 坐下, 逼, 张",mao?yi
186,5,0.701,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",新年第一天棒棒哒
187,5,0.3667,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",好好好
188,8,0.7,"吃, 满意, 餐厅, 速度, 少, 下次, 新鲜, 才, 干净, 快",干净卫生
189,5,0.2347,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",服务员态度很好，可是不知道是不是制度问题，排队太慢了。别的肯德基没有这么慢的，每次来这家都排得很无奈。不到没办法都不会选择来这家。工作人员都很好，就是等起来太慢。
190,9,0.62,"不, 点餐, 好吃, 好好, 买, 手机, 自助, 薯条, 环境, 小",服务员不按顺序点餐
191,5,0.7,"好, 很, 服务员, 热情, 不错, 服务态度, 喜欢, 棒棒, 哒, 感觉",很好啊。
192,1,0.525,"鸡翅, 味道, 再, 特别, 鸡腿, 周到, 可乐, 问, 看, 棒",龙虾卷好吃
